Archive Date,Group,Hospital HIPE,Hospital,Specialty HIPE,Speciality,Adult/Child,Age Profile,Time Band,Total
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,NULL,Other,Child,0-15, 0-3 Months,658
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,NULL,Other,Child,0-15, 3-6 Months,518
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,NULL,Other,Child,0-15, 6-9 Months,510
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,NULL,Other,Child,0-15, 9-12 Months,347
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,NULL,Other,Child,0-15,12-15 Months,325
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,NULL,Other,Child,0-15,15-18 Months,320
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,NULL,Other,Child,0-15,18+ Months,1001
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,NULL,Other,Child,16-64, 0-3 Months,17
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,NULL,Other,Child,16-64, 3-6 Months,13
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,NULL,Other,Child,16-64, 6-9 Months,5
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,NULL,Other,Child,16-64, 9-12 Months,13
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,NULL,Other,Child,16-64,12-15 Months,17
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,NULL,Other,Child,16-64,15-18 Months,17
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,NULL,Other,Child,16-64,18+ Months,95
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Child,0-15, 0-3 Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Child,0-15,18+ Months,1
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Child,0-15, 0-3 Months,635
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Child,0-15, 3-6 Months,246
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Child,0-15, 6-9 Months,165
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Child,0-15, 9-12 Months,48
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Child,0-15,12-15 Months,56
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Child,0-15,15-18 Months,82
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Child,0-15,18+ Months,679
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Child,16-64, 0-3 Months,8
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Child,16-64, 3-6 Months,9
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Child,16-64, 6-9 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Child,16-64, 9-12 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Child,16-64,12-15 Months,4
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Child,16-64,15-18 Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0300,Dermatology,Child,16-64,18+ Months,84
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0402,Diabetes Mellitus,Child,0-15, 0-3 Months,6
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0402,Diabetes Mellitus,Child,0-15, 9-12 Months,2
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Child,0-15, 0-3 Months,826
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Child,0-15, 3-6 Months,542
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Child,0-15, 6-9 Months,554
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Child,0-15, 9-12 Months,477
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Child,0-15,12-15 Months,318
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Child,0-15,15-18 Months,291
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Child,0-15,18+ Months,1786
31/01/2019,Children's Health Ireland,0000,Children's Health Ireland,0600,Otolaryngology (ENT),Child,16-64, 0-3 Months,5
